source,target,weight,abs_weight,sign,theme_source,theme_target,cross_theme
E10,S07,0.38846,0.38846,1,E,S,True
E07,E12,0.388088,0.388088,1,E,E,False
S09,V04,0.386413,0.386413,1,S,V,True
S02,S06,0.38637,0.38637,1,S,S,False
S07,S14,0.383645,0.383645,1,S,S,False
V02,V12,0.383442,0.383442,1,V,V,False
V04,V10,0.383422,0.383422,1,V,V,False
S14,V08,0.382943,0.382943,1,S,V,True
E15,V15,0.381771,0.381771,1,E,V,True
E07,V14,0.380924,0.380924,1,E,V,True
V07,V15,0.380729,0.380729,1,V,V,False
V01,V11,0.380156,0.380156,1,V,V,False
T12,T14,0.379764,0.379764,1,T,T,False
S02,S09,0.379366,0.379366,1,S,S,False
T06,S07,0.378606,0.378606,1,T,S,True
S04,V05,0.37808,0.37808,1,S,V,True
V05,V06,0.378048,0.378048,1,V,V,False
V02,V08,0.376435,0.376435,1,V,V,False
S07,V13,0.373778,0.373778,1,S,V,True
E11,S11,0.37028,0.37028,1,E,S,True
E05,V07,0.369758,0.369758,1,E,V,True
S09,V11,0.369706,0.369706,1,S,V,True
V05,V14,0.369244,0.369244,1,V,V,False
S03,S13,0.368871,0.368871,1,S,S,False
T11,V10,0.368866,0.368866,1,T,V,True
S10,S13,0.368279,0.368279,1,S,S,False
T14,E10,0.368188,0.368188,1,T,E,True
T03,V09,0.367616,0.367616,1,T,V,True
V02,V09,0.367566,0.367566,1,V,V,False
T11,S10,0.367437,0.367437,1,T,S,True
S09,V12,0.36643,0.36643,1,S,V,True
S06,V07,0.365582,0.365582,1,S,V,True
T03,V07,0.365368,0.365368,1,T,V,True
E12,V14,0.36452,0.36452,1,E,V,True
V08,V09,0.363689,0.363689,1,V,V,False
E07,V09,0.363352,0.363352,1,E,V,True
S09,S12,0.363105,0.363105,1,S,S,False
S14,V15,0.36291,0.36291,1,S,V,True
T04,E14,0.362788,0.362788,1,T,E,True
V01,V14,0.361925,0.361925,1,V,V,False
S09,S15,0.361687,0.361687,1,S,S,False
E07,S09,0.361222,0.361222,1,E,S,True
S03,V03,0.360738,0.360738,1,S,V,True
T14,V13,0.359732,0.359732,1,T,V,True
S13,V08,0.358868,0.358868,1,S,V,True
T06,S04,0.358375,0.358375,1,T,S,True
V14,V15,0.358272,0.358272,1,V,V,False
T05,S11,0.35787,0.35787,1,T,S,True
V01,V04,0.357025,0.357025,1,V,V,False
E10,S09,0.356699,0.356699,1,E,S,True
E07,E15,0.353643,0.353643,1,E,E,False
S03,V11,0.352275,0.352275,1,S,V,True
V12,V15,0.351679,0.351679,1,V,V,False
S02,S12,0.351598,0.351598,1,S,S,False
E05,S06,0.350998,0.350998,1,E,S,True
E11,E12,0.35098,0.35098,1,E,E,False
S14,V07,0.349632,0.349632,1,S,V,True
S11,V14,0.348414,0.348414,1,S,V,True
V02,V14,0.34838,0.34838,1,V,V,False
E07,S14,0.347511,0.347511,1,E,S,True
S15,V03,0.346724,0.346724,1,S,V,True
E15,V09,0.34669,0.34669,1,E,V,True
E06,S10,0.346195,0.346195,1,E,S,True
V05,V12,0.344152,0.344152,1,V,V,False
S09,V02,0.344149,0.344149,1,S,V,True
V05,V15,0.344017,0.344017,1,V,V,False
E10,S13,0.342953,0.342953,1,E,S,True
T12,V02,0.342912,0.342912,1,T,V,True
T04,S15,0.342675,0.342675,1,T,S,True
E08,V09,0.342623,0.342623,1,E,V,True
S06,V14,0.342056,0.342056,1,S,V,True
E05,E06,0.341803,0.341803,1,E,E,False
E09,S02,0.341311,0.341311,1,E,S,True
V04,V15,0.340918,0.340918,1,V,V,False
T06,V15,0.34088,0.34088,1,T,V,True
E12,V07,0.340282,0.340282,1,E,V,True
T05,S07,0.339169,0.339169,1,T,S,True
V10,V15,0.338575,0.338575,1,V,V,False
E14,S04,0.338031,0.338031,1,E,S,True
S04,S10,0.337586,0.337586,1,S,S,False
S13,V04,0.337558,0.337558,1,S,V,True
E12,V03,0.335724,0.335724,1,E,V,True
E15,S11,0.335336,0.335336,1,E,S,True
S09,V15,0.335221,0.335221,1,S,V,True
S05,S07,0.335196,0.335196,1,S,S,False
V07,V13,0.334242,0.334242,1,V,V,False
T04,E12,0.334224,0.334224,1,T,E,True
E14,S07,0.333405,0.333405,1,E,S,True
E12,S14,0.33206,0.33206,1,E,S,True
T12,S15,0.331781,0.331781,1,T,S,True
E07,V11,0.331381,0.331381,1,E,V,True
T01,T02,0.331371,0.331371,1,T,T,False
E08,V03,0.331239,0.331239,1,E,V,True
E08,E15,0.330249,0.330249,1,E,E,False
V02,V07,0.328789,0.328789,1,V,V,False
E11,E14,0.328363,0.328363,1,E,E,False
V06,V07,0.327557,0.327557,1,V,V,False
S07,V05,0.327523,0.327523,1,S,V,True
E14,S09,0.326311,0.326311,1,E,S,True
S14,V02,0.326161,0.326161,1,S,V,True
E14,S15,0.326088,0.326088,1,E,S,True
V06,V09,0.32593,0.32593,1,V,V,False
T11,S09,0.325899,0.325899,1,T,S,True
T11,T12,0.325652,0.325652,1,T,T,False
S10,V07,0.325091,0.325091,1,S,V,True
